1695722672993688064,0.45406,0.24017,0.00885,0.99108,-0.01490,-0.00816,0.13220,
1695722673061629696,0.44515,0.19365,-0.00127,0.98963,-0.01533,0.00085,0.14281,
1695722673125662208,0.46724,0.22310,0.00643,0.98769,-0.01666,-0.00834,0.15529,
1695722673193629184,0.49387,0.26578,0.00333,0.98546,-0.01653,-0.00585,0.16900,
1695722673261619456,0.52140,0.31242,0.00678,0.98317,-0.01516,-0.00930,0.18182,
1695722673325653248,0.47293,0.14156,-0.00097,0.98016,-0.02042,-0.00498,0.19708,
1695722673361643264,0.46176,0.15819,0.00117,0.97790,-0.02149,-0.00777,0.20782,
1695722673393632768,0.48016,0.16156,0.00423,0.97581,-0.02451,-0.00948,0.21705,
1695722673425621504,0.50774,0.16927,0.00602,0.97337,-0.02662,-0.00987,0.22749,
1695722673461621504,0.49558,0.17868,0.00658,0.97028,-0.02563,-0.01176,0.24035,
1695722673493905664,0.48375,0.18451,0.00621,0.96722,-0.02447,-0.01126,0.25251,
1695722673525639680,0.50825,0.19362,0.00872,0.96413,-0.02645,-0.01335,0.26376,
1695722673561627648,0.50492,0.20086,0.00899,0.96045,-0.02508,-0.01384,0.27698,
1695722673595116544,0.52022,0.20753,0.00985,0.95664,-0.02639,-0.01254,0.28981,
1695722673625647360,0.52643,0.21692,0.01113,0.95293,-0.02658,-0.01367,0.30172,
1695722673661705216,0.53204,0.22488,0.01159,0.94832,-0.02571,-0.01345,0.31597,
1695722673693955840,0.54031,0.23614,0.01247,0.94410,-0.02614,-0.01333,0.32835,
1695722673725648384,0.55677,0.24333,0.01301,0.93978,-0.02660,-0.01148,0.34056,
1695722673761618944,0.55885,0.24181,0.01231,0.93464,-0.02413,-0.00902,0.35466,
1695722673793961984,0.56259,0.24639,0.01217,0.92995,-0.02309,-0.00804,0.36688,
1695722673825629696,0.56678,0.25026,0.01188,0.92525,-0.02193,-0.00676,0.37867,
1695722673861615104,0.57408,0.25877,0.01246,0.91977,-0.02215,-0.00711,0.39177,
1695722673893638656,0.58057,0.27061,0.01339,0.91462,-0.02258,-0.00826,0.40359,
1695722673925699328,0.60029,0.28811,0.01472,0.90934,-0.02411,-0.00891,0.41526,
1695722673961614848,0.58811,0.29324,0.01452,0.90500,-0.02120,-0.00966,0.42478,
1695722674025687808,0.61443,0.31951,0.01555,0.90052,-0.02270,-0.00875,0.43412,
1695722674225635840,0.68288,0.41284,0.01559,0.89919,-0.02042,-0.00682,0.43702,
1695722674325661440,0.67538,0.41321,0.01195,0.90485,-0.01545,-0.00441,0.42543,
1695722674361604608,0.71334,0.44610,0.01239,0.90904,-0.01814,-0.00431,0.41628,
1695722674393673472,0.71808,0.45822,0.01199,0.91344,-0.01747,-0.00436,0.40658,
1695722674425725952,0.72153,0.46909,0.01163,0.91803,-0.01714,-0.00472,0.39612,
1695722674461711872,0.74125,0.49121,0.01177,0.92329,-0.01717,-0.00496,0.38369,
1695722674493726208,0.76852,0.51811,0.01193,0.92795,-0.01730,-0.00552,0.37226,
1695722674525734656,0.74437,0.50369,0.01176,0.93288,-0.01571,-0.00524,0.35980,
1695722674561632256,0.75087,0.50654,0.01165,0.93876,-0.01511,-0.00479,0.34420,
1695722674593692160,0.75904,0.51417,0.01174,0.94402,-0.01512,-0.00505,0.32951,
1695722674625683456,0.76648,0.52484,0.01193,0.94906,-0.01429,-0.00545,0.31473,
1695722674661594112,0.77729,0.53594,0.01195,0.95487,-0.01406,-0.00563,0.29663,
1695722674693626624,0.78609,0.54616,0.01214,0.95986,-0.01348,-0.00579,0.28009,
1695722674729630720,0.79763,0.55880,0.01238,0.96510,-0.01312,-0.00609,0.26148,
1695722674761602304,0.81113,0.57038,0.01236,0.96952,-0.01299,-0.00577,0.24461,
1695722674793634048,0.81864,0.58099,0.01254,0.97358,-0.01239,-0.00586,0.22793,
1695722674829609216,0.82875,0.58741,0.01253,0.97781,-0.01143,-0.00568,0.20913,
1695722674861656064,0.83194,0.58492,0.01237,0.98119,-0.01103,-0.00552,0.19263,
