1695722669806638000,0.00000,0.00000,
1695722669909769000,0.01989,-0.06687,
1695722670012605000,-0.02563,-0.03251,
1695722670115651000,-0.02456,-0.02627,
1695722670218602000,-0.03325,-0.02555,
1695722670321601000,-0.03546,0.02679,
1695722670424848000,-0.01525,0.04769,
1695722670527878000,0.03632,0.04041,
1695722670630852000,-0.02796,0.03818,
1695722670733922000,-0.02843,0.02146,
1695722670836806000,0.02858,0.04784,
1695722670939769000,0.03125,0.07536,
1695722671042862000,-0.02724,-0.02457,
1695722671145825000,-0.04165,0.03716,
1695722671248751000,-0.01576,0.00876,
1695722671352021000,-0.03019,-0.03515,
1695722671455121000,-0.03794,-0.05248,
1695722671557993000,-0.02908,-0.03312,
1695722671660765000,-0.05273,-0.04020,
1695722671763754000,-0.01047,0.03543,
1695722671866539000,-0.03249,0.00333,
1695722671969511000,-0.04489,0.01030,
1695722672072491000,-0.05530,-0.00348,
1695722672175742000,-0.06994,-0.00920,
1695722672279144000,-0.08451,-0.00982,
1695722672382038000,-0.10855,-0.01865,
1695722672484974000,-0.13107,-0.02274,
1695722672587965000,-0.15137,-0.02442,
1695722672691183000,-0.17530,-0.03670,
1695722672794225000,-0.19421,-0.04529,
1695722672896984000,-0.20711,-0.05016,
1695722672999737000,-0.21311,-0.06030,
1695722673102778000,-0.22471,-0.06951,
1695722673205462000,-0.23416,-0.07774,
1695722673308513000,-0.24052,-0.09814,
1695722673411468000,-0.24665,-0.10597,
1695722673514316000,-0.25414,-0.11902,
1695722673616990000,-0.25691,-0.13722,
1695722673719982000,-0.25812,-0.15081,
1695722673822716000,-0.26215,-0.16462,
1695722673925967000,-0.25848,-0.17834,
1695722674028798000,-0.27007,-0.19748,
1695722674132906000,-0.28532,-0.22109,
1695722674236530000,-0.30105,-0.24131,
1695722674340184000,-0.32171,-0.26065,
1695722674443943000,-0.34705,-0.28147,
1695722674547355000,-0.37554,-0.29121,
1695722674650839000,-0.40863,-0.29645,
1695722674754202000,-0.43872,-0.30463,
1695722674857198000,-0.47184,-0.30473,
1695722674959818000,-0.49904,-0.30574,
1695722675062351000,-0.51805,-0.30823,
1695722675165313000,-0.53041,-0.30689,
1695722675268216000,-0.53798,-0.30268,
1695722675371753000,-0.54039,-0.29548,
1695722675474159000,-0.54095,-0.28704,
1695722675577422000,-0.53938,-0.27431,
1695722675680220000,-0.53596,-0.26165,
1695722675782833000,-0.54064,-0.24741,
1695722675885364000,-0.55939,-0.23431,
1695722675987899000,-0.58013,-0.22679,
1695722676090335000,-0.60361,-0.21192,
1695722676193305000,-0.61901,-0.19793,
1695722676296422000,-0.64243,-0.18689,
1695722676399749000,-0.66931,-0.16948,
1695722676502640000,-0.69541,-0.14979,
1695722676605593000,-0.73306,-0.12797,
1695722676708310000,-0.76592,-0.10890,
1695722676811272000,-0.80340,-0.08622,
1695722676915229000,-0.84325,-0.06610,
1695722677017329000,-0.87518,-0.04363,
1695722677120120000,-0.91394,-0.02358,
1695722677223055000,-0.95126,-0.00242,
1695722677325795000,-0.98652,0.00917,
1695722677428228000,-1.02121,0.01460,
1695722677530759000,-1.04480,0.01189,
1695722677633274000,-1.07039,0.00616,
1695722677735768000,-1.08138,-0.00217,
1695722677838471000,-1.08359,-0.01683,
1695722677941221000,-1.09074,-0.02691,
1695722678043987000,-1.09195,-0.04134,
1695722678147020000,-1.08367,-0.05544,
1695722678248791000,-1.08025,-0.05518,
1695722678354183000,-1.07624,-0.05361,
1695722678457415000,-1.06644,-0.05070,
1695722678560763000,-1.04817,-0.04360,
1695722678664438000,-1.02431,-0.03664,
1695722678767871000,-0.99914,-0.03177,
1695722678869968000,-0.96681,-0.02605,
1695722678972979000,-0.93708,-0.02224,
